"Name","Id","MemoryMB"
"Discord","5856","598.72"
"Code","22868","541.19"
"LeagueClientUxRender","25696","406.39"
"Code","5492","336.66"
"opera","11568","325.06"
"explorer","7856","310.36"
"Code","11112","224.84"
"msedgewebview2","11080","221.64"
"LeagueClientUxRender","15692","215.08"
"LeagueClient","3652","213.48"
"opera","13772","194.09"
"opera","19256","173.98"
"Code","21068","158.68"
"RiotClientServices","6788","153.59"
"msedgewebview2","15136","143.78"
"Code","22764","134.39"
"msedgewebview2","9024","132.17"
"Code","22884","129.5"
"powershell","25292","124.7"
"nvcontainer","15060","95.58"
"LeagueClientUx","9480","79.93"
"audiodg","10724","16.98"
